month,category,tier,growth_rate,budget_revenue,budget_units,budget_avg_price
2026-07,agro_industry_and_commerce,mid,0.05,1239.0,1.05,1180.0
2026-07,air_conditioning,mid,0.05,1465.905,5.25,279.22
2026-07,art,mid,0.05,406.0875,3.1500000000000004,128.91666666666666
2026-07,arts_and_craftmanship,mid,0.05,136.395,1.05,129.9
2026-07,audio,high,0.1,741.0590000000001,6.6000000000000005,112.28166666666668
2026-07,auto,mid,0.05,14581.1925,119.7,121.81447368421053
2026-07,baby,mid,0.05,16234.4805,131.25,123.69128
2026-07,bed_bath_table,low,0.02,64042.6992,580.38,110.346151142355
2026-07,books_general_interest,mid,0.05,1357.0200000000002,13.65,99.41538461538462
2026-07,books_technical,mid,0.05,554.4,2.1,264.0
2026-07,christmas_supplies,mid,0.05,68.34450000000001,2.1,32.545
2026-07,computers_accessories,high,0.1,41993.842,352.0,119.3006875
2026-07,consoles_games,high,0.1,5952.3640000000005,51.7,115.1327659574468
2026-07,construction_tools_construction,low,0.02,560.4288,6.12,91.57333333333334
2026-07,construction_tools_lights,low,0.02,367.2,1.02,360.0
2026-07,cool_stuff,mid,0.05,38486.133,239.4,160.7607894736842
2026-07,costruction_tools_garden,low,0.02,354.5316,8.16,43.4475
2026-07,drinks,mid,0.05,287.66850000000005,3.1500000000000004,91.32333333333334
2026-07,dvds_blu_ray,mid,0.05,769.4399999999999,3.1500000000000004,244.26666666666665
2026-07,electronics,high,0.1,7992.644,103.4,77.29829787234043
2026-07,fashion_bags_accessories,mid,0.05,5316.3705,90.3,58.87453488372093
2026-07,fashion_male_clothing,mid,0.05,755.9895,9.45,79.99888888888889
2026-07,fashion_shoes,mid,0.05,1347.171,19.95,67.52736842105264
2026-07,fashion_underwear_beach,mid,0.05,288.54,3.1500000000000004,91.6
2026-07,fixed_telephony,mid,0.05,229.6665,9.45,24.303333333333327
2026-07,food,mid,0.05,613.3679999999999,7.35,83.45142857142855
2026-07,food_drink,mid,0.05,176.61,8.4,21.025
2026-07,furniture_bedroom,low,0.02,1099.5498,4.08,269.4975
2026-07,furniture_decor,low,0.02,24508.6824,320.28000000000003,76.52267515923566
2026-07,furniture_living_room,low,0.02,3902.6424,30.6,127.53733333333334
2026-07,furniture_mattress_and_upholstery,low,0.02,111.588,1.02,109.4
2026-07,garden_tools,low,0.02,19330.326,187.68,102.99619565217392
2026-07,health_beauty,mid,0.05,35951.4225,323.40000000000003,111.16704545454544
2026-07,home_appliances,low,0.02,3745.4298,37.74,99.24297297297296
2026-07,home_appliances_2,low,0.02,1054.6698,7.140000000000001,147.71285714285716
2026-07,home_comfort_2,low,0.02,13.158,1.02,12.9
2026-07,home_confort,low,0.02,4655.127,43.86,106.13604651162792
2026-07,home_construction,low,0.02,95.472,2.04,46.8
2026-07,housewares,low,0.02,20656.5606,276.42,74.72889298892989
2026-07,industry_commerce_and_business,mid,0.05,258.25800000000004,2.1,122.98000000000002
2026-07,kitchen_dining_laundry_garden_furniture,low,0.02,1342.83,11.22,119.68181818181816
2026-07,luggage_accessories,mid,0.05,8727.2955,76.65,113.8590410958904
2026-07,market_place,mid,0.05,1652.0490000000002,13.65,121.02923076923078
2026-07,music,mid,0.05,345.45,1.05,329.0
2026-07,musical_instruments,mid,0.05,7646.7195,31.5,242.753
2026-07,office_furniture,low,0.02,17230.4622,117.3,146.89226086956523
2026-07,party_supplies,mid,0.05,73.39500000000001,1.05,69.9
2026-07,perfumery,mid,0.05,13370.9625,127.05,105.24173553719008
2026-07,pet_shop,mid,0.05,6904.7685,89.25,77.36435294117648
2026-07,signaling_and_security,mid,0.05,499.7055,5.25,95.182
2026-07,small_appliances,mid,0.05,3766.5915,32.550000000000004,115.71709677419354
2026-07,sports_leisure,mid,0.05,38449.7715,393.75,97.65021333333334
2026-07,stationery,mid,0.05,7252.192500000001,80.85000000000001,89.69935064935065
2026-07,telephony,mid,0.05,9505.5135,150.15,63.30678321678322
2026-07,toys,mid,0.05,25154.682,213.15,118.01399014778325
2026-07,uncategorized,mid,0.05,3116.253,60.900000000000006,51.17
2026-07,watches_gifts,mid,0.05,35387.541,170.1,208.0396296296296
