category;revenue;units;prior_revenue;prior_units;revenue_growth_pct;status
party_supplies;1285.29;14.0;57.5;2.0;2135.29;ok
portateis_cozinha_e_preparadores_de_alimentos;1803.6;4.0;172.03;8.0;948.42;ok
market_place;949.27;8.0;186.78;4.0;408.23;ok
food;8174.18;115.0;3378.17;64.0;141.97;ok
construction_tools_safety;3970.22;25.0;1888.95;15.0;110.18;ok
books_imported;749.0;1.0;357.79;7.0;109.34;ok
costruction_tools_garden;3688.76;23.0;1922.66;22.0;91.86;ok
diapers_and_hygiene;231.89;3.0;121.0;3.0;91.64;ok
fashion_male_clothing;381.69;3.0;208.7;5.0;82.89;ok
furniture_bedroom;2197.0;12.0;1386.9;10.0;58.41;ok
construction_tools_construction;22917.16;162.0;15237.47;115.0;50.4;ok
fashion_underwear_beach;160.0;1.0;109.8;2.0;45.72;ok
telephony;36572.91;271.0;26492.68;221.0;38.05;ok
arts_and_craftmanship;901.76;9.0;654.57;11.0;37.76;ok
fashion_bags_accessories;8127.53;126.0;6071.07;74.0;33.87;ok
air_conditioning;3556.9;21.0;2657.86;17.0;33.83;ok
musical_instruments;10519.34;41.0;7871.93;36.0;33.63;ok
food_drink;1028.61;21.0;778.73;17.0;32.09;ok
pet_shop;24608.07;198.0;19343.85;158.0;27.21;ok
home_appliances;6443.85;63.0;5173.03;78.0;24.57;ok
perfumery;24839.74;218.0;20645.97;199.0;20.31;ok
electronics;10739.57;119.0;9270.95;151.0;15.84;ok
health_beauty;119391.01;835.0;103524.22;770.0;15.33;ok
luggage_accessories;6599.75;64.0;5821.72;54.0;13.36;ok
construction_tools_lights;8212.53;62.0;7249.61;55.0;13.28;ok
drinks;1423.26;27.0;1260.17;16.0;12.94;ok
bed_bath_table;60891.09;655.0;54405.23;617.0;11.92;ok
christmas_supplies;529.37;10.0;509.56;8.0;3.89;ok
auto;45032.58;370.0;43466.79;341.0;3.6;ok
audio;2069.4;26.0;2062.64;22.0;0.33;ok
toys;16923.75;165.0;17022.0;154.0;-0.58;ok
computers_accessories;40052.64;415.0;41063.31;418.0;-2.46;ok
baby;21266.57;212.0;21834.12;214.0;-2.6;ok
sports_leisure;50860.18;471.0;54015.89;460.0;-5.84;ok
housewares;58763.36;616.0;62583.3;564.0;-6.1;ok
home_construction;6286.16;48.0;6700.25;60.0;-6.18;ok
furniture_decor;41168.55;430.0;45393.59;436.0;-9.31;ok
stationery;15445.65;169.0;17217.19;190.0;-10.29;ok
art;1481.39;18.0;1843.2;21.0;-19.63;ok
furniture_living_room;5223.34;40.0;6706.64;54.0;-22.12;ok
computers;8711.5;12.0;11239.0;8.0;-22.49;ok
home_confort;2241.28;16.0;2906.48;23.0;-22.89;ok
small_appliances;6168.06;23.0;8161.35;42.0;-24.42;ok
agro_industry_and_commerce;5021.09;18.0;6669.82;27.0;-24.72;ok
cool_stuff;15794.89;119.0;21152.01;115.0;-25.33;ok
books_technical;1483.79;29.0;1994.93;26.0;-25.62;ok
watches_gifts;69767.06;411.0;95164.79;521.0;-26.69;ok
small_appliances_home_oven_and_coffee;2996.72;17.0;4699.67;15.0;-36.24;ok
garden_tools;16314.7;136.0;25639.88;177.0;-36.37;ok
home_appliances_2;7532.76;14.0;12597.32;23.0;-40.2;ok
music;497.81;6.0;849.3;3.0;-41.39;ok
fashion_shoes;471.3;3.0;820.19;5.0;-42.54;ok
kitchen_dining_laundry_garden_furniture;2011.47;20.0;3736.95;22.0;-46.17;ok
consoles_games;4381.31;59.0;8519.11;49.0;-48.57;ok
office_furniture;6758.87;30.0;13225.28;80.0;-48.89;ok
cine_photo;595.29;9.0;1178.54;7.0;-49.49;ok
industry_commerce_and_business;2364.69;10.0;4697.21;14.0;-49.66;ok
pc_gamer;219.0;1.0;438.0;2.0;-50.0;ok
signaling_and_security;1825.59;22.0;3785.19;29.0;-51.77;ok
uncategorized;2199.05;31.0;4612.0;47.0;-52.32;ok
books_general_interest;1564.78;36.0;4077.45;25.0;-61.62;ok
fixed_telephony;2724.17;10.0;9319.39;11.0;-70.77;ok
costruction_tools_tools;1255.77;14.0;5501.2;12.0;-77.17;ok
dvds_blu_ray;8.9;1.0;83.99;1.0;-89.4;ok
fashio_female_clothing;129.97;3.0;;;;new_this_month
fashion_sport;69.9;1.0;;;;new_this_month
flowers;;;47.99;2.0;;dropped_this_month
furniture_mattress_and_upholstery;;;129.9;1.0;;dropped_this_month
home_comfort_2;;;38.7;3.0;;dropped_this_month
