month,category,tier,growth_rate,budget_revenue,budget_units,budget_avg_price
2026-06,agro_industry_and_commerce,mid,0.05,1459.5,1.05,1390.0
2026-06,air_conditioning,mid,0.05,2188.704,11.55,189.49818181818185
2026-06,art,mid,0.05,210.31500000000003,4.2,50.075
2026-06,audio,high,0.1,1838.1,12.1,151.9090909090909
2026-06,auto,mid,0.05,30802.4955,115.5,266.6882727272728
2026-06,baby,mid,0.05,8257.977,81.9,100.83
2026-06,bed_bath_table,low,0.02,34479.2946,376.38,91.60766937669378
2026-06,books_general_interest,mid,0.05,2018.289,21.0,96.109
2026-06,books_imported,mid,0.05,103.95,2.1,49.5
2026-06,books_technical,mid,0.05,153.19500000000002,2.1,72.95
2026-06,christmas_supplies,mid,0.05,193.935,3.1500000000000004,61.56666666666666
2026-06,cine_photo,mid,0.05,82.95,1.05,79.0
2026-06,computers_accessories,high,0.1,39813.07,279.40000000000003,142.49488188976378
2026-06,consoles_games,high,0.1,5839.933,31.9,183.07
2026-06,construction_tools_construction,low,0.02,383.8974,8.16,47.04625
2026-06,cool_stuff,mid,0.05,40015.090500000006,208.95,191.50557788944724
2026-06,costruction_tools_garden,low,0.02,443.3838,4.08,108.6725
2026-06,drinks,mid,0.05,52.48950000000001,1.05,49.99
2026-06,dvds_blu_ray,mid,0.05,133.0245,4.2,31.6725
2026-06,electronics,high,0.1,2266.0440000000003,45.1,50.24487804878049
2026-06,fashion_bags_accessories,mid,0.05,7058.2365,85.05,82.98925925925926
2026-06,fashion_childrens_clothes,mid,0.05,115.5,1.05,110.0
2026-06,fashion_male_clothing,mid,0.05,545.7795,9.45,57.75444444444444
2026-06,fashion_shoes,mid,0.05,1343.3490000000002,19.95,67.33578947368422
2026-06,fashion_underwear_beach,mid,0.05,4.095,1.05,3.9
2026-06,fixed_telephony,mid,0.05,980.3535,12.6,77.80583333333333
2026-06,food,mid,0.05,157.395,1.05,149.9
2026-06,food_drink,mid,0.05,60.27,2.1,28.7
2026-06,furniture_bedroom,low,0.02,315.1698,2.04,154.495
2026-06,furniture_decor,low,0.02,16946.575800000002,234.6,72.23604347826088
2026-06,furniture_living_room,low,0.02,1747.566,15.3,114.22
2026-06,garden_tools,low,0.02,15756.0318,112.2,140.4280909090909
2026-06,health_beauty,mid,0.05,33260.6505,266.7,124.7118503937008
2026-06,home_appliances,low,0.02,2557.3338,43.86,58.30674418604651
2026-06,home_appliances_2,low,0.02,1238.1473999999998,6.12,202.31166666666664
2026-06,home_comfort_2,low,0.02,13.158,1.02,12.9
2026-06,home_confort,low,0.02,2874.564,17.34,165.7764705882353
2026-06,home_construction,low,0.02,2032.146,8.16,249.0375
2026-06,housewares,low,0.02,23437.7742,327.42,71.58320872274143
2026-06,industry_commerce_and_business,mid,0.05,290.81850000000003,2.1,138.485
2026-06,kitchen_dining_laundry_garden_furniture,low,0.02,382.296,4.08,93.7
2026-06,luggage_accessories,mid,0.05,8549.2995,63.0,135.70316666666665
2026-06,market_place,mid,0.05,1321.8975,16.8,78.684375
2026-06,music,mid,0.05,1120.245,4.2,266.725
2026-06,musical_instruments,mid,0.05,5242.7025,21.0,249.6525
2026-06,office_furniture,low,0.02,7424.7126,51.0,145.5826
2026-06,perfumery,mid,0.05,25152.036,155.4,161.85351351351352
2026-06,pet_shop,mid,0.05,5379.7485,66.15,81.32650793650792
2026-06,signaling_and_security,mid,0.05,140.70000000000002,1.05,134.0
2026-06,small_appliances,mid,0.05,10183.7505,24.15,421.6873913043478
2026-06,small_appliances_home_oven_and_coffee,low,0.02,73.33800000000001,1.02,71.9
2026-06,sports_leisure,mid,0.05,33670.2765,282.45,119.2079182156134
2026-06,stationery,mid,0.05,3668.2485,39.9,91.93605263157896
2026-06,tablets_printing_image,high,0.1,653.4000000000001,6.6000000000000005,99.0
2026-06,telephony,mid,0.05,6889.8165,164.85,41.79445859872612
2026-06,toys,mid,0.05,16104.4275,163.8,98.3176282051282
2026-06,uncategorized,mid,0.05,5147.52,60.900000000000006,84.52413793103447
2026-06,watches_gifts,mid,0.05,28704.5115,124.95,229.7279831932773
